gene_ID,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ENSG00000004809,0.625431217,-0.271456584,0.341825922,-0.794136917,0.427115728,NA
ENSG00000004838,4.152640538,0.633700454,0.607020296,1.043952663,0.296507291,NA
ENSG00000004846,1.247480223,-0.324042305,0.367066705,-0.882788606,0.377350498,NA
ENSG00000004848,0.616046086,-0.15414462,0.38517726,-0.400191382,0.689015562,NA
ENSG00000004864,1327.062264,0.049397075,0.254696106,0.19394515,0.84621883,0.961341874
ENSG00000004866,372.4009901,-0.034334949,0.256813656,-0.133695964,0.893642997,0.974309951
ENSG00000004897,2138.416221,0.114226228,0.236335558,0.483322224,0.628866963,0.902464201
ENSG00000004939,1.125007944,-0.045823433,0.438108344,-0.104593838,0.916698104,NA
ENSG00000004961,1931.826755,-0.09227867,0.239215178,-0.385755917,0.699677446,0.924882696
ENSG00000004975,1486.841528,0.929461569,0.331998283,2.799597513,0.005116636,0.071747846
ENSG00000005001,348.8811482,-0.798824195,0.398341214,-2.005376713,0.044922789,0.29663062
ENSG00000005007,6670.585741,0.153273408,0.23932587,0.640438112,0.521887812,0.862737314
ENSG00000005020,1589.817126,-0.176081269,0.252541584,-0.697236735,0.485654653,0.84643055
ENSG00000005022,12821.18748,0.756354852,0.279008829,2.710863505,0.006710825,0.087126976
ENSG00000005059,511.0888401,0.824280824,0.359682438,2.291690496,0.021923509,0.193027679
ENSG00000005073,36.26836801,-0.318557349,0.519839274,-0.612799696,0.540008792,0.871246369
ENSG00000005075,1143.995663,0.273985561,0.211308712,1.296612702,0.19476448,0.616094247
ENSG00000005100,1691.962947,0.190195442,0.243680552,0.780511369,0.435089938,0.818519385
ENSG00000005102,2.491886465,-0.085671855,0.568616314,-0.150667248,0.88023821,NA
ENSG00000005108,0.610302569,0.128260857,0.336625468,0.381019469,0.703188802,NA
ENSG00000005156,1038.59717,0.393420966,0.245325228,1.603671052,0.10878658,0.474272462
ENSG00000005175,867.8983092,0.099264536,0.251310627,0.394987419,0.692852173,0.923514827
ENSG00000005187,12.88713773,-0.402045247,0.542017606,-0.741756803,0.458234697,0.832125698
ENSG00000005189,140.1232543,0.871159639,0.330231654,2.638025845,0.008339023,0.101800101
ENSG00000005194,1966.186426,-0.037448319,0.31123827,-0.120320418,0.90422933,0.976977776
ENSG00000005206,505.2389036,0.000498145,0.225900492,0.002205153,0.998240544,0.999696218
ENSG00000005238,3729.40343,-0.144761169,0.232372359,-0.622970688,0.533303784,0.867255504
ENSG00000005243,638.3539237,-0.434901866,0.355277862,-1.224117549,0.220907887,0.646026313
ENSG00000005249,5.862903866,-0.664947742,0.605693126,-1.097829434,0.272278976,0.700780686
ENSG00000005302,880.6501397,0.093853369,0.239992479,0.391067958,0.695747004,0.924114257
ENSG00000005339,3583.114263,-0.02712023,0.193462573,-0.140183343,0.888515132,0.973412584
ENSG00000005379,5.277468217,-0.548195932,0.603521258,-0.908329118,0.363704363,0.770715153
ENSG00000005381,1.682690773,-0.507936735,0.540448984,-0.939842149,0.347298535,NA
ENSG00000005421,0.838417906,-0.268758894,0.340073684,-0.790296063,0.429354886,NA
ENSG00000005436,380.0458084,0.122657265,0.226539339,0.541439141,0.588204935,0.885778049
ENSG00000005448,1131.436459,0.298344051,0.274033434,1.088714056,0.276280001,0.705186849
ENSG00000005469,1058.754191,-0.648047889,0.276944586,-2.33999118,0.019284195,0.177725143
ENSG00000005471,6.686934324,-0.301538431,0.607066414,-0.496714074,0.619390696,0.897670289
ENSG00000005483,1232.04259,-0.251398036,0.259632471,-0.968284266,0.332902421,0.748664847
ENSG00000005486,1604.096759,-0.27869802,0.254350807,-1.095722961,0.273200031,0.701571154
ENSG00000005513,6.642914619,-0.566082991,0.606602908,-0.933201908,0.35071573,0.761043199
ENSG00000005700,1857.343063,-0.228717676,0.291473786,-0.784693811,0.432633112,0.816532605
ENSG00000005801,408.5625857,0.102835684,0.291868956,0.35233512,0.724586953,0.932961029
ENSG00000005810,2305.609556,-0.042713919,0.254113463,-0.168089947,0.866512518,0.967346598
ENSG00000005812,1392.268435,0.049759235,0.223274978,0.222860775,0.823643866,0.956204677
ENSG00000005844,1.286006145,-0.408223167,0.464703986,-0.878458501,0.379694949,NA
ENSG00000005882,222.0638785,-0.88417218,0.366231708,-2.41424257,0.015767961,0.155693956
ENSG00000005884,39922.90667,-0.048967651,0.251927871,-0.194371708,0.845884841,0.961341874
