gene	SC1	SC2	SC3	SC4	SC5	SC6
ENSG00000006453	3460	4451	3902	3600	3901	2666
ENSG00000006459	1076	652	589	450	839	1455
ENSG00000006468	103	62	53	40	28	66
ENSG00000006530	856	718	825	597	668	483
ENSG00000006534	95	207	25	192	52	94
ENSG00000006555	316	707	447	746	587	411
ENSG00000006576	1063	735	947	455	806	880
ENSG00000006606	0	31	0	28	0	10
ENSG00000006607	1634	2366	1853	1767	1452	1105
ENSG00000006611	0	0	0	0	0	0
ENSG00000006625	1565	1268	2233	1125	1642	985
ENSG00000006634	405	231	420	157	223	111
ENSG00000006638	4	13	2	1	0	2
ENSG00000006652	954	1070	750	637	1397	1411
ENSG00000006659	0	0	0	0	0	0
ENSG00000006695	987	626	994	790	837	584
ENSG00000006704	1461	1189	1446	1364	1948	1553
ENSG00000006712	2770	3042	3522	2910	2410	1879
ENSG00000006715	1952	3439	1623	1906	1803	1805
ENSG00000006740	164	73	129	73	141	102
ENSG00000006744	3806	4808	3772	4214	3366	2514
ENSG00000006747	37	2	1	5	6	10
ENSG00000006756	1080	2291	680	1041	1045	1105
ENSG00000006757	1049	1113	742	817	833	739
ENSG00000006788	1	0	0	0	1	0
ENSG00000006831	4914	5131	5271	4749	4376	3099
ENSG00000006837	10	22	14	13	19	14
ENSG00000007001	0	1	1	0	2	1
ENSG00000007038	110	41	26	1	16	0
ENSG00000007047	4088	4279	4471	4038	4732	5051
ENSG00000007062	0	2	3	0	5	1
ENSG00000007080	3877	3616	4167	4229	3548	2423
ENSG00000007129	0	0	0	0	0	0
ENSG00000007168	6562	9398	6402	6947	6110	3910
ENSG00000007171	0	2	0	2	0	0
ENSG00000007174	94	69	88	39	80	49
ENSG00000007202	7559	8925	7674	8321	6715	5897
ENSG00000007216	0	0	3	0	0	0
ENSG00000007237	130	141	135	139	136	127
ENSG00000007255	118	213	128	129	129	179
ENSG00000007264	4	20	2	16	8	0
ENSG00000007306	0	2	0	2	0	3
ENSG00000007312	2	2	3	1	2	8
ENSG00000007314	0	0	0	0	0	0
ENSG00000007341	400	352	416	401	391	258
ENSG00000007350	0	1	0	0	1	0
ENSG00000007372	72	37	28	12	30	13
ENSG00000007376	1067	1538	1460	1928	1261	691
ENSG00000007384	1309	1559	1233	1232	1378	1133
ENSG00000007392	897	683	915	501	563	638
ENSG00000007402	12	13	13	13	11	41
ENSG00000007516	3	2	5	0	7	13
ENSG00000007520	2854	2241	3047	2729	2789	1135
ENSG00000007541	1663	1837	1819	1806	1764	1245
ENSG00000007545	544	483	465	459	458	365
ENSG00000007866	2040	2265	2310	2154	2315	1765
ENSG00000007908	0	1	0	0	0	0
ENSG00000007923	2695	3406	2732	3307	2331	1562
ENSG00000007933	0	0	0	0	0	0
ENSG00000007944	71	137	57	80	84	196
ENSG00000007952	2	4	7	4	1	2
ENSG00000007968	63	61	133	57	45	26
ENSG00000008018	4387	5264	4839	4305	4298	2716
ENSG00000008056	35	4	50	11	19	4
ENSG00000008083	2745	1926	2069	1516	1728	1318
ENSG00000008086	384	735	326	460	306	562
ENSG00000008118	24	26	13	5	20	8
ENSG00000008128	53	60	26	21	42	23
ENSG00000008130	3038	4211	3036	3676	3001	2571
ENSG00000008196	15	7	21	4	34	54
ENSG00000008197	0	0	0	0	0	0
ENSG00000008226	6	10	2	2	6	15
ENSG00000008256	3583	4733	3665	4048	3748	2640
ENSG00000008277	19	9	5	4	12	6
ENSG00000008282	4706	5085	4036	3250	3589	2927
ENSG00000008283	1139	1880	1171	1578	1396	974
ENSG00000008294	6748	8708	5489	5144	6055	5799
ENSG00000008300	74	111	95	114	54	115
ENSG00000008311	468	164	436	176	242	209
ENSG00000008323	231	326	367	476	524	671
ENSG00000008324	369	354	507	333	320	291
ENSG00000008382	294	301	316	237	205	106
ENSG00000008394	1204	6864	2086	9906	1111	7722
ENSG00000008405	159	724	123	369	197	476
ENSG00000008438	0	4	2	0	1	2
ENSG00000008441	3075	3166	4844	5417	3825	1763
ENSG00000008513	437	1530	448	1570	957	780
ENSG00000008516	10	93	12	20	27	32
ENSG00000008517	73	2212	70	406	168	85
ENSG00000008710	2333	2272	1827	1782	2583	1493
ENSG00000008735	67	337	62	64	111	121
ENSG00000008838	3288	2769	3930	3131	2650	1992
ENSG00000008853	2246	2680	2081	3405	3340	766
ENSG00000008869	1417	1360	1277	1113	1245	1182
ENSG00000008952	2752	4143	2126	2140	2466	2650
ENSG00000008988	21659	19944	24428	30785	30030	13540
ENSG00000009307	25123	30249	22800	22116	27425	20533
ENSG00000009335	8082	11016	8395	9263	8077	4764
ENSG00000009413	647	536	526	380	512	707
ENSG00000009694	4	4	3	1	1	3
ENSG00000009709	0	0	0	0	1	0
